id;lugar;frecuencia;agradable;3 La iluminacion le permite:;4 La calidad de la iluminacion;5 Identificar�a situaci�n de peligro?;6 Las caracteristicas de la zona:;7a Ser Vista;7b Ser Escuchada;8 Cantidad de personas le generan:;9 Zona segura si hay presencia de:;10 Los andenes le permiten:;11 Calidad de andenes le genera:;12 Medio de transporte que utiliza;13 Que sensaci�n experimenta en TP?;14 Tiempo entre paradero y su casa;15a Demasiadas personas dentro del TP;15b Muy pocas personas dentro del TP;15c Ventas informales en el TP;15d Caminata hacia el paradero;15e Condiciones de espera del TP;15f Alg�n desconocido quiere hablar;15g Viajar sola, sin compa��a;15h Viajar con ni�@ o ancian@;15i Viajar de noche;16 Hora que considera insegura;16a Hora militar;17a Primera Opci�n;17b Segunda Opci�n;17c Tercera Opci�n;18b Hombres;18a Mujeres;18c Ni�as y Ni�os;Personas;D1 Edad;D2 Actividad Principal;D3 Escolaridad;D4 Autoreconocimineto;D5 Discapacidad;D6 Identidad de g�nero;D7 Orientaci�n sexual;D8 Localidad;D9 Estrato
68;156;2;1;2;2;2;4;1;2;1;1;1;4;1;4;1;1;1;2;2;2;1;1;2;1;1;22:00;4;99;99;1;1;2;3;27;1;9;7;8;2;1;18;3
69;156;1;2;1;6;1;2;1;1;1;1;2;2;1;4;1;1;1;1;1;1;1;2;2;1;1;22:00;4;99;99;1;1;2;3;57;1;3;6;8;2;1;18;3
70;156;1;2;2;2;1;1;1;2;1;1;2;2;1;2;1;1;2;2;2;1;1;1;2;2;1;19:00;2;4;99;1;1;2;3;25;1;8;6;8;2;1;4;2
71;156;1;3;3;3;3;3;2;2;4;3;1;3;1;3;3;1;2;1;1;1;2;1;1;1;1;18:00;2;9;99;1;2;2;2;28;4;6;7;8;2;1;7;2
72;156;1;4;2;5;4;6;2;2;6;3;2;7;1;4;1;1;1;1;1;1;1;1;1;1;1;20:00;4;6;99;1;1;2;3;22;1;8;7;7;2;1;1;3
73;156;1;3;2;6;1;6;2;1;1;3;2;2;1;2;2;1;1;2;1;1;1;2;1;1;1;18:00;1;8;99;1;1;1;3;15;2;5;6;8;2;1;18;2
74;156;1;2;2;6;4;6;2;1;1;3;2;1;10;1;1;1;1;1;1;1;1;1;1;1;1;18:00;5;6;99;1;1;2;3;35;1;6;7;8;2;1;18;2
75;156;1;4;2;6;3;6;2;2;7;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;22:00;1;99;99;1;1;2;3;21;1;7;6;8;2;1;9;3
76;156;3;3;2;1;1;1;1;1;7;1;2;2;6;10;1;1;1;1;1;1;1;1;1;1;1;22:00;4;99;99;2;1;2;3;37;1;8;2;8;2;1;12;4
77;156;1;2;2;1;1;1;1;1;7;3;2;1;1;2;2;1;2;1;2;2;1;2;1;2;1;23:00;4;99;99;1;1;2;3;23;2;8;6;8;2;1;1;6
78;156;1;2;2;6;1;2;2;1;5;4;2;5;4;2;2;1;1;2;1;2;1;1;2;1;1;21:00;3;99;99;1;2;2;2;23;1;8;7;8;2;2;1;4
79;156;2;3;1;3;3;5;1;2;4;1;2;4;5;1;6;88;88;88;88;88;88;88;88;88;1;19:00;8;99;99;1;2;2;2;20;2;7;7;8;2;1;13;4
80;156;1;3;2;3;1;6;2;2;5;1;2;1;1;2;3;1;1;1;1;1;1;1;1;1;1;23:00;1;99;99;1;1;2;3;18;2;7;7;8;2;2;5;3
81;156;1;2;2;2;1;6;1;2;7;3;2;7;1;4;2;1;2;2;1;1;1;2;2;1;1;23:00;4;8;99;2;1;2;3;23;3;7;7;8;2;1;11;3
82;156;1;2;2;5;1;6;2;2;1;1;1;4;1;2;2;1;2;2;2;1;1;2;2;1;1;21:00;4;8;99;1;1;2;3;18;2;7;7;8;2;1;11;3
83;156;1;3;1;6;4;3;2;1;4;1;1;3;1;6;3;1;2;1;1;1;1;2;2;1;1;19:00;3;99;99;1;1;1;3;21;3;5;6;8;2;1;11;4
